alpha,beta,sigma_eta,distance,weight
-0.4754090216814463,0.9638162723285795,0.33138275373951354,4.507291933884148,0.0020345656200027387
-1.1253581065632492,0.9275570182202594,0.47640119705539596,4.257098359063905,0.002355681903992646
-0.8110356297281541,0.9114846114526044,0.4072967447967225,3.3112246157343765,0.001946270428651276
-0.3735774243969669,0.9512621691820637,0.311434669533618,3.5302858641555592,0.0022672435452712717
-0.5766972022282235,0.946558644901419,0.47178457572500887,1.2182755742806317,0.0016522325225414598
-1.4405838835542082,0.8890005818946498,0.47471310106314296,2.358554523158871,0.004594105883661398
-0.37654119306828626,0.9742754650797413,0.444872503034978,2.5849076521791754,0.002093759492502279
-0.8071515257915298,0.9090445268775657,0.4650416014650575,4.374217247509537,0.0019408929470326997
-0.531456502069612,0.9394815881504398,0.4567120469979099,4.105713973244358,0.0015920362989345405
-0.44380038797518545,0.9712608295577932,0.37723217805915676,3.256284213230892,0.001891425139562384
-0.45101105866230407,0.9527745718718108,0.4056781683437991,3.853263431633983,0.0015992560318690593
-0.4291235943731896,0.9541386020988138,0.42882831971627144,3.147045921234687,0.0016303984040978016
-0.3912633178462763,0.9508591273752528,0.4134055690583644,3.5636508421043556,0.0016454244364458453
-0.817097988564088,0.937310039452487,0.47916741889007597,4.490400633111667,0.0017555223895391533
-0.49079686719248283,0.9660145841114771,0.3368487944614252,4.350743752632657,0.0020180276791449308
-0.4274971234130508,0.9577502308477482,0.4268045795477822,2.6433702641630963,0.0016583349163006972
-0.4263502202636532,0.9544883375292351,0.47690083205457817,3.9123633351837563,0.0018550087416190565
-0.4709361282999227,0.9547643908067165,0.41034913972024367,3.997333763445724,0.0015941399446801957
-0.7338889441785074,0.9374680456053419,0.475737123771573,3.3171962251519345,0.0016695837605025128
-0.8337798560175258,0.9401954042946651,0.4943207716513453,4.195785555336145,0.0019055464605785756
-0.4380666941780972,0.9573462814929046,0.4458740364698125,2.7261089974549395,0.0016942080324119633
-0.6710532024949729,0.9521710592551195,0.34586697088963936,2.0892710457220907,0.0019223080200800582
-0.5544122599550392,0.9397650732830688,0.4902202707315468,3.475556984262661,0.0017770975334878462
-0.31213012006221924,0.9755015531964515,0.33290868469539586,3.2446416986321576,0.002313532106935776
-0.5409284732118211,0.9440575375031027,0.41746997500497507,2.7561726409453873,0.0015247153648164117
-0.8970686329809321,0.9131458116497414,0.4351325599110643,2.783697323877075,0.001890851528565137
-0.8574800004211881,0.9388001330952386,0.3499335478118057,3.958457171558021,0.0021689498157451007
-0.8799926949071817,0.9269400569390637,0.4918008434021135,4.549547460769471,0.0019156120268820174
-0.48193849417996326,0.9499912224053962,0.4645701457242164,3.534907595529752,0.0016801648353764456
-0.891823193811929,0.9312999784687611,0.4977099744204972,4.644631878973009,0.0019786533324294723
-0.8350848644225896,0.9258839782557047,0.4709419972010567,3.042023371570939,0.0017441233308229422
-1.0433544558969219,0.9288991473777123,0.4340470211240026,4.651929861844261,0.002025906467302498
-0.7183337541295396,0.9433918714586815,0.4995163321547924,4.455772558079307,0.0018697880924001939
-0.917451696379203,0.9250043815675341,0.4987322761412191,4.582447467944223,0.0020342188963914866
-0.3933469524329179,0.9540170605899009,0.38556216740913013,4.1185915515365625,0.0016936334241818738
-0.3219954435406216,0.9796470066894292,0.39960895410652075,2.124167986103202,0.002202051419667103
-0.6504441027151078,0.9579463999034392,0.4851131813861936,2.3062002360294507,0.0018888195728072332
-0.6781726078671942,0.9560452244070277,0.4219184255538803,3.5620413001790303,0.0016224100252918618
-0.6019390568313172,0.9552793285078593,0.4137042084863999,4.192500369499444,0.001577857522734146
-0.6059142572434366,0.9292685153465245,0.46503435911207525,4.02381853823895,0.001642058022150043
-0.8653629354958268,0.9202203492469121,0.42017610361833474,4.402714433199155,0.0017841692722687136
-0.6250471946560088,0.9469500716875933,0.38362060109468776,2.768319639967065,0.0016112936100943596
-0.7389746050667036,0.9084120065287857,0.44706413088252767,4.407841572855428,0.00191384852725296
-0.5935270533119807,0.963315957641792,0.44648395486926257,1.4251819928491627,0.0017375650013001119
-1.2909506186599027,0.9087837834994292,0.4405930801617139,4.3684406645705405,0.003031141162753474
-0.2578172204501079,0.9625532015463916,0.4041117356077579,4.530704479967118,0.0019442786837841888
-0.5936285157626865,0.9364661691383912,0.4899848547697647,4.396728382252826,0.0017592191097623592
-0.46543135336056984,0.9518514382716039,0.4529316961847236,3.93262844806926,0.0016501747128865399
-0.565285257608586,0.9460746227469913,0.4918497504150841,4.4674791642293785,0.0018019615444034372
-0.3529876272323901,0.9616902668599134,0.3554846227316483,3.4919992834808666,0.001906711687645566
-0.9286788334417807,0.9233950877641591,0.4990694176332821,4.225455507817118,0.002061417406459721
